T,P,vf,vg,uf,ug,hf,hfg,hg,sf,sfg,sg
0.01,611.65,0.0010002,205.99,0,2374900,1,2500899,2500900,0,9155.5,9155.5
5,872.58,0.0010001,147.01,21019,2381800,21020,2489080,2510100,76.254,8948.546,9024.8
10,1228.2,0.0010003,106.3,42020,2388600,42021,2477179,2519200,151.09,8748.71,8899.8
15,1705.8,0.0010009,77.875,62980,2395500,62981,2465319,2528300,224.46,8555.84,8780.3
20,2339.3,0.0010018,57.757,83912,2402300,83914,2453486,2537400,296.48,8369.52,8666
25,3169.9,0.001003,43.337,104830,2409100,104830,2441670,2546500,367.22,8189.38,8556.6
30,4247,0.0010044,32.878,125730,2415900,125730,2429770,2555500,436.75,8015.25,8452
35,5629,0.001006,25.205,146630,2422700,146630,2417870,2564500,505.13,7846.57,8351.7
40,7384.9,0.0010079,19.515,167530,2429400,167530,2405970,2573500,572.4,7683.1,8255.5
45,9595,0.0010099,15.252,188430,2436100,188430,2393970,2582400,638.61,7524.69,8163.3
50,12352,0.0010121,12.027,209330,2442700,209340,2381960,2591300,703.81,7370.99,8074.8
55,15762,0.0010146,9.5643,230240,2449300,230260,2369840,2600100,768.02,7221.78,7989.8
60,19946,0.0010171,7.6672,251160,2455900,251180,2357620,2608800,831.29,7076.81,7908.1
65,25042,0.0010199,6.1935,272090,2462400,272120,2345380,2617500,893.65,6935.95,7829.6
70,31201,0.0010228,5.0395,293030,2468900,293070,2333030,2626100,955.13,6798.87,7754
75,38595,0.0010258,4.1289,313990,2475200,314030,2320570,2634600,1015.8,6665.4,7681.2
80,47414,0.0010291,3.4052,334960,2481600,335010,2307990,2643000,1075.6,6535.5,7611.1
85,57867,0.0010324,2.8258,355950,2487800,356010,2295290,2651300,1134.6,6408.8,7543.4
90,70182,0.001036,2.3591,376970,2494000,377040,2282460,2659500,1192.9,6285.2,7478.1
95,84608,0.0010396,1.9806,398000,2500000,398090,2269510,2667600,1250.4,6164.7,7415.1
100,101420,0.0010435,1.6718,419060,2506000,419170,2256430,2675600,1307.2,6046.9,7354.1
110,143380,0.0010516,1.2093,461260,2517700,461420,2229680,2691100,1418.8,5819.3,7238.1
120,198670,0.0010603,0.89121,503600,2528900,503810,2202090,2705900,1527.9,5601.2,7129.1
130,270280,0.0010697,0.668,546090,2539500,546380,2173720,2720100,1634.6,5391.8,7026.4
140,361540,0.0010798,0.50845,588770,2549600,589160,2144240,2733400,1739.2,5190.1,6929.3
150,476160,0.0010905,0.39245,631660,2559100,632180,2113720,2745900,1841.8,4995.3,6837.1
160,618230,0.001102,0.30678,674790,2567800,675470,2081930,2757400,1942.6,4806.5,6749.1
170,792190,0.0011143,0.24259,718200,2575700,719080,2048820,2767900,2041.7,4623.3,6665
180,1002800,0.0011274,0.19384,761920,2582800,763050,2014150,2777200,2139.2,4444.8,6584
190,1255200,0.0011415,0.15636,806000,2589000,807430,1977870,2785300,2235.5,4270.4,6505.9
200,1554900,0.0011565,0.12721,850470,2594200,852270,1939730,2792000,2330.5,4099.7,6430.2
210,1907700,0.0011727,0.10429,895390,2598300,897630,1899670,2797300,2424.5,3931.8,6356.3
220,2319600,0.0011902,0.086092,940820,2601200,943580,1857320,2800900,2517.7,3766.3,6284
230,2797100,0.001209,0.071503,986810,2602900,990190,1812710,2802900,2610.1,3602.7,6212.8
240,3346900,0.0012295,0.059705,1033400,2603100,1037600,1765400,2803000,2702,3440.3,6142.3
250,3976200,0.0012517,0.050083,1080800,2601800,1085800,1715100,2800900,2793.5,3278.6,6072.1
260,4692300,0.0012761,0.042173,1129000,2598700,1135000,1661600,2796600,2884.9,3116.7,6001.6
270,5503000,0.001303,0.035621,1178100,2593700,1185300,1604400,2789700,2976.5,2953.9,5930.4
280,6416600,0.0013328,0.030153,1228300,2586400,1236900,1543000,2779900,3068.5,2789.4,5857.9
290,7441800,0.0013663,0.025555,1279900,2576500,1290000,1476700,2766700,3161.2,2622.2,5783.4
300,8587900,0.0014042,0.02166,1332900,2563600,1345000,1404600,2749600,3255.2,2450.7,5705.9
310,9865100,0.0014479,0.018335,1387900,2547100,1402200,1325700,2727900,3351,2273.4,5624.4
320,11284000,0.001499,0.015471,1445300,2526000,1462200,1238400,2700600,3449.4,2087.8,5537.2
330,12858000,0.0015606,0.012979,1505800,2499200,1525900,1140100,2666000,3551.8,1890.4,5442.2
340,14601000,0.0016376,0.010781,1570600,2464400,1594500,1027300,2621800,3660.1,1675.5,5335.6
350,16529000,0.00174,0.0088024,1642100,2418100,1670900,892700,2563600,3778.4,1432.6,5211
360,18666000,0.0018954,0.0069493,1726300,2351800,1761700,719800,2481500,3916.7,1136.9,5053.6
370,21044000,0.0022152,0.0049544,1844100,2230300,1890700,443800,2334500,4111.2,690,4801.2
373.95,22064000,0.0031056,0.0031056,2015700,2015700,2084300,0,2084300,4407,0,4407
